Empresa;Codigo;indices dos quais participa
HYPERA;HYPE3;GPTW,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
IGUATEMI S.A;IGTI11;IBOV,IBRA,IBXX,IGCT,IGCX,IMOB,ITAG,SMLL
IHPARDINI;PARD3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
ILLUMINA INC;I1LM34;BDRX
IMC S/A;MEAL3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
INFRACOMM;IFCM3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
INTEL;ITLC34;BDRX
INTELBRAS;INTB3;GPTW,IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
INTUIT INC;INTU34;BDRX
INTUITIVE SU;I1SR34;BDRX
IOCHP-MAXION;MYPK3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
IRANI;RANI3;AGFS,GPTW,IBRA,IGCT,IGCX,IGNM,IMAT,ITAG,SMLL
IRBBRASIL RE;IRBR3;IBOV,IBRA,IBXX,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL
IRON MOUNTAI;I1RM34;BDRX
ITAUSA;ITSA3;IGCX
ITAUSA;ITSA4;IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,ISEE,ITAG,IVBX,MLCX
ITAUUNIBANCO;ITUB3;IBRA,IFNC,IGCT,IGCX,MLCX
ITAUUNIBANCO;ITUB4;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX
JALLESMACHAD;JALL3;AGFS,GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
JBS;JBSS3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ITAG,MLCX
JD COM;JDCO34;BDRX
JHSF PART;JHSF3;IBOV,IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
JOHNSON;JNJB34;BDRX
JPMORGAN;JPMC34;BDRX
JSL;JSLG3;IGCX,IGNM,ITAG
KEPLER WEBER;KEPL3;AGFS,GPTW,IBRA,ITAG,SMLL
KINDER MORGA;KMIC34;BDRX
KLABIN S/A;KLBN11;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,IVBX,MLCX
KORA SAUDE;KRSA3;IGCX,IGNM,ITAG
KRAFT HEINZ;KHCB34;BDRX
LAM RESEARCH;L1RC34;BDRX
LAVVI;LAVV3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
LIGHT S/A;LIGT3;IBRA,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL
LILLY;LILY34;BDRX
LLOYDS BANKI;L1YG34;BDRX
LOCALIZA;RENT3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
